#name	m_b	err_m_b	zhel	zcmb	vp	vp_2mpp_sdss_6df	vp_2mrs	vp_2mpp
6057	   17.91	 0.21236	 0.06707	 0.06652	 -6.3317	     -49	     -44	     -55
SN2016ixf	  18.171	 0.13736	 0.06602	 0.06723	  32.316	      21	      36	      28
1993B	  18.041	  0.2022	  0.0696	 0.07076	  146.88	     123	     133	     126
2008Y	  18.043	   0.161	 0.06965	 0.07028	 -79.047	     -75	     -64	     -68
2008Y	  18.024	 0.15022	 0.06965	 0.07028	 -79.047	     -75	     -64	     -68
PS15bwh	  17.996	 0.11462	 0.07267	 0.07149	 -27.116	     -16	     -28	     -23
Gaia16aki	    18.3	 0.12397	 0.07363	 0.07398	  15.296	       8	       2	      13
PS17bii	  18.197	 0.13724	 0.07339	 0.07467	  58.342	      43	      55	      50
2005ir	  18.313	 0.12643	 0.07602	  0.0749	  -83.86	     -65	     -69	     -72
370333	  18.381	 0.14122	   0.075	 0.07557	 -84.052	     -78	     -68	     -72
2007hx	  18.841	 0.13204	 0.07944	 0.07849	 -72.372	     -56	     -57	     -62
560033	  18.346	 0.36323	    0.08	 0.07869	 -74.418	     -58	     -68	     -64
12779	  18.531	 0.16947	 0.07995	 0.07891	 -40.944	     -32	     -48	     -35
PS15bzz	  18.277	 0.10528	 0.08024	 0.07901	 -83.734	     -65	     -72	     -72
350316	  18.347	 0.11126	   0.079	 0.07966	 -69.207	     -64	     -50	     -59
2005ag	  18.414	0.084926	 0.07954	 0.08024	  42.091	      30	      28	      36
12950	  18.468	 0.15576	 0.08273	 0.08141	 -71.293	     -55	     -66	     -61
SN2016glp	  18.716	 0.16728	 0.08493	 0.08366	    -122	    -100	    -108	    -104
3592	  18.588	0.089358	 0.08658	 0.08544	 -76.222	     -59	     -63	     -65
SN2016grz	  18.595	 0.15678	 0.08748	 0.08656	 -133.26	    -111	    -110	    -114
1241	  18.524	 0.18465	 0.08979	 0.08848	 -59.489	     -46	     -58	     -51
590194	  18.667	 0.15568	 0.08951	 0.09015	 -65.547	     -60	     -47	     -56
370066	  18.774	 0.11854	    0.09	 0.09066	 -62.188	     -57	     -44	     -53
300105	  18.907	 0.19537	 0.09314	 0.09181	 -65.653	     -51	     -61	     -56
iPTF17dz	   18.97	 0.35125	   0.092	 0.09284	 -26.346	     -26	     -12	     -23
160099	  19.045	 0.11717	 0.10102	 0.10142	 -60.666	     -57	     -54	     -52
000190	  19.155	 0.13344	  0.1011	 0.10237	  44.074	      34	      46	      38
140181	  18.998	 0.14256	 0.10154	 0.10231	 -41.294	     -41	     -34	     -35
18697	  19.008	 0.13788	 0.10762	 0.10638	 -61.711	     -48	     -53	     -53
20625	  19.209	 0.10568	 0.10813	 0.10684	 -62.262	     -48	     -55	     -53
21034	  19.245	 0.12705	 0.10855	 0.10751	 -62.883	     -49	     -50	     -54
500038	  19.149	  0.1332	 0.10682	  0.1081	  42.526	      33	      44	      37
020027	  19.317	 0.12738	  0.1091	 0.10988	 -37.194	     -37	     -31	     -32
18650	  19.368	 0.11471	 0.11371	 0.11243	 -45.086	     -35	     -46	     -39
18612	  19.135	 0.13857	 0.11489	 0.11365	 -61.606	     -48	     -53	     -53
8719	  19.288	 0.11296	 0.11757	 0.11628	 -58.059	     -45	     -50	     -50
5395	  19.377	 0.13069	   0.117	 0.11635	 -46.666	     -36	     -33	     -40
2561	   19.32	 0.17186	 0.11813	 0.11741	 -49.765	     -39	     -36	     -43
490008	  19.382	 0.21387	    0.12	 0.12067	 -51.583	     -48	     -37	     -44
19953	  19.341	 0.11784	 0.12323	  0.1219	 -46.266	     -36	     -46	     -40
16021	  19.363	 0.11393	  0.1246	 0.12336	 -56.095	     -43	     -47	     -48
6406	  19.397	 0.10192	 0.12449	 0.12377	 -44.457	     -34	     -32	     -38
19543	  19.582	 0.15605	  0.1252	 0.12384	 -55.717	     -43	     -50	     -48
13044	  19.509	0.087854	 0.12588	 0.12455	 -45.028	     -35	     -45	     -39
2992	  19.243	 0.20945	 0.12661	 0.12608	 -38.396	     -30	     -26	     -33
744	  19.432	 0.20361	 0.12825	 0.12694	 -41.926	     -33	     -43	     -36
14871	   19.49	 0.11241	  0.1276	 0.12705	 -40.357	     -31	     -28	     -35
18855	  19.531	 0.12456	 0.12783	 0.12716	 -44.354	     -34	     -32	     -38
15508	   19.59	  0.1114	 0.13461	 0.13353	 -50.233	     -39	     -40	     -43
