#name	m_b	err_m_b	zhel	zcmb	vp	vp_2mpp_sdss_6df	vp_2mrs	vp_2mpp
2008eq	  17.806	  0.1617	  0.0568	  0.0568	 -136.25	-147	-71	-174
2001ah	  17.709	  0.1793	  0.0578	  0.0584	 -138.06	-146	-226	-149
2008bz	   17.89	  0.0903	  0.0602	  0.0613	  88.721	80	142	99
2006oa	  17.788	  0.1319	  0.0626	  0.0614	 -33.081	-23	-20	-22
1992bs	  18.106	  0.1488	   0.064	  0.0637	 -4.4741	-5	40	-36
2007ae	  17.765	  0.1083	   0.065	  0.0649	 -135.09	-130	-257	-114
PS15cms	   18.07	  0.1444	  0.0648	   0.066	 -69.583	-93	36	-129
6057	  17.873	  0.2124	  0.0671	  0.0665	 -6.3317	-49	-44	-55
SN2016ixf	  18.132	  0.1374	   0.066	  0.0672	  32.316	21	36	28
1993B	  18.018	  0.2022	  0.0696	  0.0708	  146.88	123	133	126
2008Y	  17.983	   0.161	  0.0697	  0.0703	 -79.047	-75	-64	-68
2008Y	  17.996	  0.1502	  0.0697	  0.0703	 -79.047	-75	-64	-68
PS15bwh	  17.982	  0.1146	  0.0727	  0.0715	 -27.116	-16	-28	-23
Gaia16aki	  18.212	   0.124	  0.0736	   0.074	  15.296	8	2	13
PS17bii	  18.133	  0.1372	  0.0734	  0.0747	  58.342	43	55	50
2005ir	  18.254	  0.1264	   0.076	  0.0749	  -83.86	-65	-69	-72
370333	  18.386	  0.1412	   0.075	  0.0756	 -84.052	-78	-68	-72
2007hx	  18.791	   0.132	  0.0794	  0.0785	 -72.372	-56	-57	-62
560033	  18.272	  0.3632	    0.08	  0.0787	 -74.418	-58	-68	-64
12779	  18.486	  0.1695	  0.0799	  0.0789	 -40.944	-32	-48	-35
PS15bzz	  18.284	  0.1053	  0.0802	   0.079	 -83.734	-65	-72	-72
350316	  18.348	  0.1113	   0.079	  0.0797	 -69.207	-64	-50	-59
2005ag	  18.376	  0.0849	  0.0795	  0.0802	  42.091	30	28	36
12950	  18.405	  0.1558	  0.0827	  0.0814	 -71.293	-55	-66	-61
SN2016glp	    18.7	  0.1673	  0.0849	  0.0837	    -122	-100	-108	-104
3592	  18.538	  0.0894	  0.0866	  0.0854	 -76.222	-59	-63	-65
SN2016grz	  18.544	  0.1568	  0.0875	  0.0866	 -133.26	-111	-110	-114
1241	  18.492	  0.1847	  0.0898	  0.0885	 -59.489	-46	-58	-51
590194	  18.613	  0.1557	  0.0895	  0.0901	 -65.547	-60	-47	-56
370066	  18.694	  0.1185	    0.09	  0.0907	 -62.188	-57	-44	-53
300105	  18.851	  0.1954	  0.0931	  0.0918	 -65.653	-51	-61	-56
iPTF17dz	  18.822	  0.3513	   0.092	  0.0928	 -26.346	-26	-12	-23
160099	  18.999	  0.1172	   0.101	  0.1014	 -60.666	-57	-54	-52
140181	  18.931	  0.1426	  0.1015	  0.1023	 -41.294	-41	-34	-35
18697	  18.967	  0.1379	  0.1076	  0.1064	 -61.711	-48	-53	-53
20625	   19.15	  0.1057	  0.1081	  0.1068	 -62.262	-48	-55	-53
21034	  19.181	   0.127	  0.1085	  0.1075	 -62.883	-49	-50	-54
500038	  19.103	  0.1332	  0.1068	  0.1081	  42.526	33	44	37
020027	  19.266	  0.1274	  0.1091	  0.1099	 -37.194	-37	-31	-32
18650	  19.342	  0.1147	  0.1137	  0.1124	 -45.086	-35	-46	-39
18612	  19.084	  0.1386	  0.1149	  0.1137	 -61.606	-48	-53	-53
8719	  19.277	   0.113	  0.1176	  0.1163	 -58.059	-45	-50	-50
5395	  19.338	  0.1307	   0.117	  0.1163	 -46.666	-36	-33	-40
2561	  19.268	  0.1719	  0.1181	  0.1174	 -49.765	-39	-36	-43
490008	  19.361	  0.2139	    0.12	  0.1207	 -51.583	-48	-37	-44
16021	  19.323	  0.1139	  0.1246	  0.1234	 -56.095	-43	-47	-48
6406	  19.347	  0.1019	  0.1245	  0.1238	 -44.457	-34	-32	-38
