#name	m_b	err_m_b	zhel	zcmb	vp	vp_2mpp_sdss_6df	vp_2mrs	vp_2mpp
ASAS14ad	  16.289	 0.19134	  0.0264	0.027435	 -1246.7	    -436	    -290	    -548
ASAS14hp	  16.733	 0.19089	  0.0389	0.038674	  405.23	     230	     303	     244
ASAS14hr	  16.629	 0.19213	  0.0336	0.032723	  4.5753	      -8	       1	     -11
ASAS14hu	  15.539	 0.19009	  0.0216	0.021907	  86.375	     104	     179	      85
ASAS14jc	  14.354	 0.19096	  0.0113	0.011763	 -273.56	     -41	      74	     -98
ASAS14jg	  14.576	 0.23994	  0.0148	 0.01433	 -459.64	    -124	     -74	    -197
ASAS14jz	  14.715	 0.19062	  0.0158	0.015628	 -160.09	      -8	     -54	     -81
ASAS14kd	  15.855	 0.19124	   0.024	0.022768	 -234.96	    -120	    -147	    -141
ASAS14kq	  16.606	 0.19091	  0.0336	 0.03262	 -326.54	     -82	     -96	    -119
ASAS14lo	  15.557	 0.23851	  0.0199	0.020998	  579.75	     540	     528	     658
ASAS14lp	  11.482	  0.1904	  0.0051	0.0062288	  149.58	     182	     203	     257
ASAS14lq	  15.979	  0.3018	  0.0262	 0.02511	 -184.46	     -78	     -52	    -110
ASAS14lt	  16.359	 0.19605	   0.032	0.031432	 -278.46	    -253	    -291	    -359
ASAS14lw	  15.887	 0.19177	  0.0209	0.020275	  -77.07	     158	     117	     169
ASAS14me	   15.15	 0.19026	  0.0178	0.017386	 -51.248	      50	      81	      27
ASAS14mf	  16.502	 0.19203	  0.0311	0.030172	 -356.88	    -175	    -118	    -229
ASAS14mw	  16.012	 0.19065	  0.0274	0.027134	 -110.76	      81	     126	      56
ASAS14my	  15.452	 0.19116	  0.0205	0.021728	  -229.1	     -71	      34	    -129
ASAS15aj	  14.244	 0.19074	  0.0109	0.012008	  155.89	      -6	      44	     -60
ASAS15al	  16.797	  0.2419	  0.0338	0.033785	   377.2	      49	      61	      51
ASAS15as	  16.158	  0.1923	  0.0286	0.029704	 -437.71	    -116	    -130	    -157
ASAS15ba	    15.9	  0.1911	  0.0231	 0.02396	 -201.52	     367	     247	     475
ASAS15be	  15.577	 0.19042	  0.0219	0.021406	 -415.22	    -101	     -90	    -157
ASAS15bm	  15.343	 0.19123	  0.0208	0.021454	  454.28	     253	     309	     296
ASAS15cb	   16.78	 0.30449	    0.04	0.041126	 -168.11	     -15	     139	     -29
ASAS15cd	  16.701	 0.19197	  0.0343	0.035403	 -691.78	    -272	    -150	    -328
ASAS15da	  17.634	 0.25616	   0.055	 0.05512	 -606.03	    -260	    -169	    -333
ASAS15db	  14.399	  0.1909	   0.011	0.011378	 -162.17	     -53	     -18	     -58
ASAS15dd	  15.899	 0.19162	  0.0244	0.024785	  568.14	     231	     264	     289
ASAS15eb	   15.55	 0.26502	  0.0165	0.017338	 -171.07	      15	      59	      -3
ASAS15fr	  16.975	 0.24702	  0.0334	0.034495	 -251.09	     -60	      41	     -86
ASAS15go	  15.482	  0.1905	  0.0189	0.019245	  171.42	     111	     135	     126
ASAS15gr	  15.961	 0.19064	  0.0243	0.024785	  712.77	     326	     379	     379
ASAS15hf	  13.933	 0.19027	  0.0062	0.0072719	   43.52	     486	     525	     570
ASAS15hg	  16.554	 0.24228	  0.0297	0.030818	 -449.29	    -133	    -146	    -183
ASAS15hx	   13.35	 0.19087	  0.0083	0.0092051	  187.21	     576	     574	     673
CSP12G	  16.771	 0.28872	   0.037	0.037992	 -524.51	    -195	     -93	    -238
CSP12J	  14.325	 0.43974	  0.0147	0.014944	 -139.75	      61	     138	      28
CSP12N	  18.967	 0.19419	  0.0971	0.098241	 -42.597	      79	      83	      83
CSP13aad	  18.582	 0.23841	  0.0868	0.086571	 -61.821	      87	      83	      82
CSP13aaf	  18.409	 0.19207	  0.0776	0.078733	   2.211	      31	      46	      36
CSP13aam	  18.273	 0.19676	  0.0749	0.075044	 -135.38	     110	     111	     106
CSP13aao	  17.346	 0.33718	  0.0614	0.061645	 -147.19	     -43	      47	     -99
CSP13aaq	  18.007	 0.19264	  0.0597	0.059712	 -64.226	      65	    -209	      29
CSP13aay	  18.014	 0.19123	   0.059	0.058796	 -861.76	     379	     566	     452
CSP13abm	  16.368	  0.1908	  0.0282	0.027549	 -498.64	    -171	    -215	    -210
CSP13abs	  18.451	 0.20612	  0.0771	  0.0783	 -46.641	      63	      72	      70
CSP13N	  16.859	 0.23663	  0.0478	0.048837	 -279.19	     -47	      -2	     -52
CSP13Q	  18.618	  0.3887	   0.089	0.088766	 -55.568	      83	      79	      78
CSP13Z	  18.225	 0.19218	  0.0788	0.080024	 -60.601	      82	      93	      86
CSP14aaq	  16.866	 0.20107	  0.0359	0.036162	  88.294	     429	     484	     513
CSP14aar	   17.09	 0.19206	  0.0422	0.042415	  62.032	     112	     211	      99
CSP14abn	  15.698	 0.19048	  0.0225	0.023275	 -64.856	      76	     233	      55
CSP14acl	  16.723	 0.19254	    0.03	0.028953	 -154.21	    -108	    -143	    -128
CSP14acy	   17.46	 0.19285	  0.0664	0.066053	 -90.737	     133	     133	     126
CSP14adc	  16.281	  0.1922	  0.0324	0.031611	 -620.37	     -52	     172	     -23
CSP14ade	  17.822	 0.19286	  0.0625	0.062679	 -93.746	      80	      55	      51
CSP15aae	  15.037	  0.1922	  0.0162	 0.01699	  416.66	     210	     278	     267
